% # columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst objective function value, further objective values of best", seed=1012158, Tue Aug 23 12:47:46 2016
1 11 0.452820284068 1.00004583438 223.297794941 2.2329779494113336e+02 396.052188294 1095.694239   
2 22 0.409948410136 1.07156734784 166.70311306 1.6670311306002412e+02 305.374226233 1203.8390327   
3 33 0.388458163466 1.10598888883 151.997705824 1.5199770582381279e+02 300.033440617 593.73987755   
4 44 0.38691953246 1.15021476869 151.997705824 1.7377546453066893e+02 304.710867153 897.001620272   
5 55 0.379051073901 1.22533044705 151.997705824 2.0049333448766592e+02 352.572170705 610.631083728   
6 66 0.355285348574 1.23743670764 138.041394841 1.3804139484063600e+02 285.738485063 820.114179937   
7 77 0.336557839155 1.28448932149 118.69737481 1.1869737480950330e+02 239.301256339 420.711360217   
8 88 0.324401303558 1.27463734669 118.69737481 1.8916542682261294e+02 287.572059842 563.954254507   
9 99 0.313418555417 1.30096647942 118.69737481 1.7371671196766417e+02 232.048017191 587.496026978   
10 110 0.284103728382 1.34540553575 102.936963953 1.0293696395273568e+02 242.055047197 333.338629985   
11 121 0.263948125206 1.35751346873 62.2622463698 6.2262246369761527e+01 156.294477076 529.097244374   
12 132 0.245798145702 1.36385825115 40.7153264606 4.0715326460647525e+01 102.827794041 181.227312616   
13 143 0.242378040946 1.38371201391 40.7153264606 5.3780206739414254e+01 100.698423308 143.917849612   
14 154 0.242013795342 1.38629131272 40.7153264606 5.5870800753265392e+01 95.6832837287 178.972584672   
15 165 0.23558170328 1.46955358869 40.7153264606 6.0343424295141162e+01 108.303561624 189.464842513   
16 176 0.223853629536 1.49853092209 40.7153264606 7.5593877406206218e+01 113.461429852 173.997480258   
17 187 0.216450838842 1.52300927414 40.7153264606 5.1711232159656689e+01 90.7407040234 199.215909541   
18 198 0.205451306889 1.52684068066 40.7153264606 5.1519583358693517e+01 124.438455222 198.297274681   
19 209 0.189523049686 1.51399570294 40.7153264606 4.7949835011519127e+01 70.9480927934 120.178356653   
20 220 0.175770932796 1.49777687074 40.7153264606 4.8547958227002852e+01 66.5395253403 124.14768209   
21 231 0.167341091329 1.50606007163 40.7153264606 4.1616559183792916e+01 67.103048789 103.827470953   
