['2.62049183027', '2.60495844601', '0.374159166102', '-1.9476152028', '1.60868017506', '-0.485661410593', '1.08210034777']
['3.5058919809', '1.75293331863', '1.05393436397', '-1.21034811897', '0.323199271644', '-1.43186878596', '1.45920975155']
['2.4275128393', '4.22139701359', '-0.142372384885', '-1.57173741525', '2.346454427', '-0.386946150918', '1.08137574467']
['3.6601690617', '3.90828657674', '1.45932981987', '-0.693386526856', '1.16608548482', '-0.808945218155', '-0.192174330286']
['2.34426410638', '2.69212646426', '-0.910966332942', '-1.91216857977', '-0.299259578632', '-0.363476257983', '0.174653279885']
['2.48674659248', '4.71723837655', '-2.84319344678', '-3.48231026017', '2.22095398046', '-0.564247431282', '1.19250660221']
['6.21862498908', '2.8369141532', '-0.0404868201535', '-1.16611199474', '1.66391530236', '-1.44800705226', '0.0956727331306']
['4.14704141957', '3.09821187994', '0.565575387376', '-2.17289901216', '1.9320847381', '-1.99577526577', '1.08611550001']
['3.08398889672', '3.96463725644', '-0.108611075148', '-2.38737699903', '2.11157025284', '-0.0225354690606', '1.0458830736']
['1.44631738644', '4.09249000431', '-0.0331079506556', '-0.990754332144', '2.63730624678', '-0.240478447752', '-0.0860092029083']
['5.07657922383', '2.75508052978', '-0.970847613106', '-0.718274736814', '2.58598487998', '0.0564753247959', '0.640965978238']
['4.52940824786', '3.34838141284', '-0.306849654949', '-0.946614826543', '0.701376773291', '0.124562133298', '-0.833769440128']
['3.32528350876', '1.06200154383', '1.67838784927', '-1.26661845284', '4.41618235667', '-0.181089995722', '-0.0701379252888']
['3.27945387372', '1.74317102415', '-1.16998585198', '-2.12554712486', '0.555488056266', '-2.31732044095', '0.398007269696']
['5.28497048191', '3.39713120357', '-0.600586093741', '-1.08849321775', '1.15302306729', '-1.49377260507', '-0.470607272636']
['3.92921691616', '2.83557584427', '-1.1509882586', '-2.09589454995', '2.63866353014', '-2.53647359817', '0.856122929414']
['4.48982773059', '2.86875071728', '0.312846061344', '0.048972325617', '0.628927449326', '-0.781923207959', '1.63665930292']
